"id"	"room"	"description"	"creator"	"gmt_created"	"modifier"	"gmt_modified"	"is_deleted"	"building_info_id"
"73"	"1FSR"	"1.2栋1楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"5"
"74"	"1FNR"	"1.2栋1楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"5"
"75"	"3FNR"	"1.2栋3楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"5"
"76"	"1FSR"	"1.1栋1楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"6"
"77"	"-1F"	"负1楼基站"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"6"
"78"	"-1FER"	"2.1栋负一楼东弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"7"
"79"	"-1FWR"	"2.1栋负一楼西弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"7"
"80"	"1FSR"	"6.1栋1楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"8"
"81"	"3FNR"	"6.1栋3楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"8"
"82"	"2FR"	"6.2栋2楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"9"
"83"	"4FR"	"6.2栋4楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"9"
"84"	"1FR"	"4.1栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"10"
"85"	"3FR"	"4.2栋3楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"11"
"86"	"-1F"	"负1楼基站"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"12"
"87"	"1FR"	"4.3栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"12"
"88"	"1FR"	"4.4.1栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"13"
"89"	"1FR"	"4.4.2栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"14"
"90"	"1FR"	"4.4.3栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"15"
"91"	"1FR"	"4.5.1栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"16"
"92"	"1FR"	"4.5.2栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"17"
"93"	"1FR"	"4.5.3栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"18"
"94"	"1FR"	"4.5.4栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"19"
"95"	"南方基地大门保安室"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"20"
"96"	"2楼变电站控制室"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"20"
"97"	"信息亭"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"20"
"98"	"西德胜"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"99"	"科学城"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"100"	"广之旅二楼机房"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"101"	"西德胜本地网光缆"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"102"	"中能本地网1"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"103"	"中能本地网2"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"104"	"中能本地网3"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"105"	"软件路12井"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"106"	"云溪路27井"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"107"	"中外运"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"108"	"科学城"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
"109"	"铁通机楼"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"21"
